1260k  114.107.3.230:2000
1223k  114.107.2.88:2000
1210k  114.107.2.37:2000
1203k  60.168.225.139:2000
1097k  60.168.231.209:2000
1079k  60.168.231.218:2000
1063k  60.168.224.173:2000
1017k  60.168.225.55:2000
918k  183.164.58.56:8888
880k  220.178.184.252:4000
419k  117.67.171.13:4022
201k  183.166.118.216:8888
